Date, Open, High, Low, Close
06/05/87, 293.45, 295.11, 292.80, 293.45
06/04/87, 295.09, 295.10, 292.76, 295.09
06/03/87, 293.47, 293.47, 288.46, 293.47
06/02/87, 288.46, 290.04, 286.93, 288.46
06/01/87, 289.83, 291.96, 289.23, 289.83
05/29/87, 290.10, 292.87, 289.70, 290.10
05/28/87, 290.76, 291.50, 286.33, 290.76
05/27/87, 288.73, 290.78, 288.19, 288.73
05/26/87, 289.11, 289.11, 282.16, 289.11
05/22/87, 282.16, 283.33, 280.17, 282.16
05/21/87, 280.17, 282.31, 278.21, 280.17
05/20/87, 278.21, 280.89, 277.01, 278.21
05/19/87, 279.62, 287.39, 278.83, 279.62
05/18/87, 286.65, 287.43, 282.57, 286.65
05/15/87, 287.43, 294.24, 287.11, 287.43
05/14/87, 294.24, 295.10, 292.95, 294.24
05/13/87, 293.98, 294.54, 290.74, 293.98
05/12/87, 293.30, 293.30, 290.18, 293.30
05/11/87, 291.57, 298.69, 291.55, 291.57
05/08/87, 293.37, 296.18, 291.73, 293.37
05/07/87, 294.17, 296.80, 294.07, 294.17
05/06/87, 295.47, 296.19, 295.47, 295.47
05/05/87, 295.34, 295.40, 289.34, 295.34
05/04/87, 289.36, 289.99, 286.39, 289.36
05/01/87, 288.03, 289.71, 286.52, 288.03
04/30/87, 288.36, 290.08, 284.57, 288.36
04/29/87, 284.57, 286.42, 282.51, 284.57
04/28/87, 282.51, 285.95, 281.83, 282.51
04/27/87, 281.83, 284.45, 276.22, 281.83
04/24/87, 281.52, 286.82, 281.18, 281.52
04/23/87, 286.82, 289.12, 284.28, 286.82
04/22/87, 287.19, 293.46, 286.98, 287.19
04/21/87, 293.07, 293.07, 282.89, 293.07
04/20/87, 286.09, 288.36, 284.55, 286.09
04/16/87, 286.91, 289.57, 284.44, 286.91
04/15/87, 284.44, 285.14, 279.16, 284.44
04/14/87, 279.16, 285.62, 275.67, 279.16
04/13/87, 285.62, 293.36, 285.62, 285.62
04/10/87, 292.49, 293.74, 290.94, 292.49
04/09/87, 292.86, 297.71, 291.50, 292.86
04/08/87, 297.26, 299.20, 295.18, 297.26
04/07/87, 296.69, 303.65, 296.69, 296.69
04/06/87, 301.95, 302.21, 300.41, 301.95
04/03/87, 300.41, 301.30, 292.30, 300.41
04/02/87, 293.63, 294.47, 292.02, 293.63
04/01/87, 292.39, 292.39, 288.34, 292.39
03/31/87, 291.70, 291.87, 289.07, 291.70
03/30/87, 289.20, 296.13, 286.69, 289.20
03/27/87, 296.13, 301.41, 296.06, 296.13
03/26/87, 300.93, 302.72, 300.38, 300.93
03/25/87, 300.38, 301.85, 299.36, 300.38
03/24/87, 301.64, 301.92, 300.14, 301.64
03/23/87, 301.16, 301.17, 297.50, 301.16
03/20/87, 298.17, 298.17, 294.08, 298.17
03/19/87, 294.08, 294.46, 292.26, 294.08
03/18/87, 292.78, 294.58, 290.87, 292.78
03/17/87, 292.47, 292.47, 287.96, 292.47
03/16/87, 288.23, 289.89, 286.64, 288.23
03/13/87, 289.89, 291.79, 289.88, 289.89
03/12/87, 291.22, 291.91, 289.66, 291.22
03/11/87, 290.31, 292.51, 289.33, 290.31
03/10/87, 290.86, 290.88, 287.89, 290.86
03/09/87, 288.30, 290.66, 287.12, 288.30
03/06/87, 290.66, 290.67, 288.77, 290.66
03/05/87, 290.52, 291.24, 288.60, 290.52
03/04/87, 288.62, 288.62, 284.12, 288.62
03/03/87, 284.12, 284.19, 282.92, 284.12
03/02/87, 283.00, 284.83, 282.30, 283.00
02/27/87, 284.20, 284.55, 282.77, 284.20
02/26/87, 282.96, 284.40, 280.73, 282.96
02/25/87, 284.00, 285.35, 282.14, 284.00
02/24/87, 282.88, 283.33, 281.45, 282.88
02/23/87, 282.38, 285.50, 279.37, 282.38
02/20/87, 285.48, 285.98, 284.31, 285.48
02/19/87, 285.57, 286.24, 283.84, 285.57
02/18/87, 285.42, 287.55, 282.97, 285.42
02/17/87, 285.49, 285.49, 279.70, 285.49
02/13/87, 279.70, 280.91, 275.01, 279.70
02/12/87, 275.62, 278.04, 273.89, 275.62
02/11/87, 277.54, 277.71, 274.71, 277.54
02/10/87, 275.07, 278.16, 273.49, 275.07
02/09/87, 278.16, 280.04, 277.24, 278.16
02/06/87, 280.04, 281.79, 279.87, 280.04
02/05/87, 281.16, 282.26, 278.66, 281.16
02/04/87, 279.64, 279.65, 275.35, 279.64
02/03/87, 275.99, 277.83, 275.84, 275.99
02/02/87, 276.45, 277.35, 273.16, 276.45
01/30/87, 274.08, 274.24, 271.38, 274.08
01/29/87, 274.24, 276.85, 272.54, 274.24
01/28/87, 275.40, 275.71, 273.03, 275.40
01/27/87, 273.75, 274.31, 269.61, 273.75
01/26/87, 269.61, 270.40, 267.73, 269.61
01/23/87, 270.10, 280.96, 268.41, 270.10
01/22/87, 273.91, 274.05, 267.32, 273.91
01/21/87, 267.84, 270.87, 267.35, 267.84
01/20/87, 269.04, 271.03, 267.65, 269.04
01/19/87, 269.34, 269.34, 264.15, 269.34
01/16/87, 266.28, 267.24, 264.31, 266.28
01/15/87, 265.49, 266.68, 262.64, 265.49
01/14/87, 262.64, 262.72, 259.62, 262.64
01/13/87, 259.95, 260.45, 259.21, 259.95
01/12/87, 260.30, 260.30, 257.92, 260.30
01/09/87, 258.73, 259.20, 256.11, 258.73
01/08/87, 257.29, 257.28, 254.97, 257.29
01/07/87, 255.33, 255.72, 252.65, 255.33
01/06/87, 252.78, 253.99, 252.14, 252.78
01/05/87, 252.19, 252.57, 246.45, 252.19
01/02/87, 246.45, 246.45, 242.17, 246.45
12/31/86, 242.17, 244.03, 241.28, 242.17
12/30/86, 243.37, 244.62, 243.12, 243.37
12/29/86, 244.67, 246.92, 244.42, 244.67
12/26/86, 246.92, 246.92, 246.79, 246.92
12/24/86, 246.75, 247.13, 246.13, 246.75
12/23/86, 246.34, 248.72, 245.97, 246.34
12/22/86, 248.75, 249.63, 247.50, 248.75
12/19/86, 249.73, 249.85, 245.98, 249.73
12/18/86, 246.78, 247.78, 246.53, 246.78
12/17/86, 247.56, 249.94, 247.31, 247.56
12/16/86, 250.04, 250.04, 247.41, 250.04
12/15/86, 248.21, 248.21, 245.09, 248.21
12/12/86, 247.35, 248.22, 247.10, 247.35
12/11/86, 248.17, 250.92, 247.17, 248.17
12/10/86, 250.96, 251.46, 248.96, 250.96
12/09/86, 249.28, 251.16, 249.28, 249.28
12/08/86, 251.16, 252.28, 248.91, 251.16
12/05/86, 251.17, 253.79, 250.79, 251.17
12/04/86, 253.04, 254.41, 252.91, 253.04
12/03/86, 253.85, 254.85, 253.35, 253.85
12/02/86, 254.00, 254.00, 249.13, 254.00
12/01/86, 249.05, 249.18, 245.80, 249.05
11/28/86, 249.22, 249.22, 248.09, 249.22
11/26/86, 248.77, 248.90, 247.77, 248.77
11/25/86, 248.17, 248.17, 246.42, 248.17
11/24/86, 247.45, 247.95, 245.32, 247.45
11/21/86, 245.86, 246.36, 241.99, 245.86
11/20/86, 242.05, 242.05, 237.68, 242.05
11/19/86, 237.66, 237.91, 235.53, 237.66
11/18/86, 236.78, 243.16, 236.66, 236.78
